Name,Type,Properties,Location,Description
The Speedy Lightfeet,Medium Boots,,Blighted Village,"When you Dash or take a similar action, gain 3 Lightning Charges.
Athletics +1"
The Spellsparkler,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Waukeen's Rest,"When you deal damage with a spell or cantrip, gain 2 Lightning Charges."
The Watcher's Guide,Spear,"1h 🏹(1d6)
2h 🏹(1d8)",Dank Crypt,"On a miss, the next Attack Roll against that target gains True Strike."
The Watersparkers,Boots,,Shattered Sanctum,"Water becomes electrified when you stand in it during combat.
When you start your turn on an electrified surface, gain 3 Lightning Charges."
The Whispering Promise,Ring,,Goblin Camp,"When you heal a creature, grant them Bless for 10 turns."
Titanstring Bow,Longbow,2h 🏹(1d8 + 1),Zhentarim Hideout,Deal an additional 🎲(Strength Modifier) with this weapon.
Uncovered Mysteries,Amulet,,Arcane Tower,Cast Detect Thoughts once per Long Rest.
Unseen Menace,Pike,2h 🏹(1d10 + 1),Crèche Y'llek,"This weapon is Invisible while equipped. It loses this property for 2 turns on a missed Attack Rolls.
While Invisible, you are Immune to Disarm, gain Advantage on Attack Rolls and you land a Critical Hit when rolling a 19."
Varsh Ko'kuu's Boots,Boots,,Crèche Y'llek,"Immune to Acidic Surfaces.
Resistance to Acid damage."
Very Heavy Greataxe,Greataxe,2h 🔪(1d12),Blighted Village,Gain Gargantuan Cleave weapon action.
Vision of the Absolute,Spear,"1h 🏹(1d6)
2h 🏹(1d8)",Druid Grove/Ownbear Nest,"On a hit, the target must succeed a Dexterity Saving Throw or become Blinded. 
Deals an additional 🏹(2d6) to creatures that have multiple sets of eyes."
Vital Conduit Boots,Medium Boots,,Crèche Y'llek,"Gain ❤️(8) temporary Hit Points when you cast a Spell that requires Concentration.
Athletics +1"
Wapira's Crown,Helmet,,Druid Grove,Regain ❤️(1d6) Hit Points when you heal another creature.
Warped Headband of Intellect,Helmet,,Blighted Village,Increases Intelligence to 17.
Watcher's Shield,Shield,🛡️ + 2 AC,House of Healing,Advantage on Perception Checks.
Winter's Clutches,Gloves,,Rosymorn Monastery Trail,"When you deal Cold damage, inflict Encrusted with Frost for 2 turns."
Witchbreaker,Battleaxe,"1h 🔪(1d8 + 1)
2h 🔪(1d10 + 1)",Crèche Y'llek,Advantage on Attack Rolls against concentrating creatures.
Wondrous Gloves,Gloves,🛡️ + 1 AC,Grymforge,Gain 1 more use of Bardic Inspiration.
Wood Woad Shield,Shield,🛡️ + 2 AC,Sunlit Wetlands,Use a Bonus Action to attack and possibly Ensnare your target once per Short Rest.
Worgfang,Dagger,1h 🏹(1d4),Goblin Camp,Goblins have Disadvantage on Attack Rolls against you.
Xyanyde,Mace,1h 🔨(1d6),Shattered Sanctum,"On a miss, automatically Cast Faerie Fire on the target (for 2 turns) once per Short Rest."
